,name,type_A,type_B,type_C,type_D,address,longitude,latitude
"1334 Dundas St E , Mississauga, Ontario",Petro-Canada,122.9,,,,"1334 Dundas St E, Mississauga, ON L4Y 4G4, Canada",-79.5846074,43.6076552
"1345 Lawrence Ave E , Toronto - Central, Ontario",Petro-Canada,122.9,135.9,141.9,120.9,"1345 Lawrence Ave E, North York, ON M3A 1C6, Canada",-79.3196736,43.74071240000001
"1349 Burnhamthorpe Rd E , Mississauga, Ontario",Shell,121.7,134.9,140.9,118.9,"1349 Burnhamthorpe Rd E, Mississauga, ON L4Y 3V8, Canada",-79.6034672,43.6224629
"135 Rexdale Blvd  , Toronto - West, Ontario",Shell,120.9,,,,"135 Rexdale Blvd, Etobicoke, ON M9W 1P7, Canada",-79.5670607,43.7112382
"13735 Bathurst St , Richmond Hill, Ontario",Esso,116.9,132.9,135.9,119.9,"13735 Bathurst St, Richmond Hill, ON L4E 3Z1, Canada",-79.4849337,43.9571197
"140 Father Tobin Rd , Brampton, Ontario",7-Eleven,122.6,,,114.6,"140 Father Tobin Rd, Brampton, ON L6R 0J2, Canada",-79.7563634,43.7717446
"140 Kennedy Rd N , Brampton, Ontario",Esso,122.9,135.9,141.9,,"140 Kennedy Rd N, Brampton, ON L6V 2N4, Canada",-79.7587927,43.70319260000001
"1400 Britannia Rd E , Mississauga, Ontario",Flying J,,,,123.9,"1400 Britannia Rd E, Mississauga, ON L4W 1C8, Canada",-79.64907579999999,43.6536054
"1401 Matheson Blvd E , Mississauga, Ontario",Pioneer,,,130.7,120.9,"1401 Matheson Blvd E, Mississauga, ON L4W 1E3, Canada",-79.63039719999999,43.6422842
"1404 Dundas St E , Mississauga, Ontario",Esso,116.9,134.9,135.9,,"1404 Dundas St E, Mississauga, ON L4X 1L4, Canada",-79.5829298,43.6094096
"1405 Southdown Rd , Mississauga, Ontario",Petro-Canada,120.7,130.9,136.9,120.9,"1405 Southdown Rd, Mississauga, ON L5J 2Y9, Canada",-79.64015619999999,43.5192249
"1411 Warden Ave , Toronto - East, Ontario",Costco,109.9,,121.9,,"1411 Warden Ave, Scarborough, ON M1R 2S3, Canada",-79.2977358,43.7594291
"145 Clark Blvd , Brampton, Ontario",Esso,119.6,130.9,138.9,118.9,"145 Clark Blvd, Brampton, ON L6T 4G6, Canada",-79.7268527,43.7045053
"1471 O'Connor Dr , Toronto - Central, Ontario",OP,115.5,121.9,127.9,,"1471 O'Connor Dr, East York, ON M4B 2V5, Canada",-79.3060576,43.7137634
"1472 Wellington St E , Aurora, Ontario",Esso,118.4,129.9,135.9,118.9,"1472 Wellington St E, Aurora, ON L4G 7B7, Canada",-79.4194977,44.0110445
"14721 Yonge St , Aurora, Ontario",Canadian Tire,122.9,132.9,137.9,,"14721 Yonge St, Aurora, ON L4G 1N1, Canada",-79.4638626,43.987063
"1480 Britannia Rd E , Mississauga, Ontario",Shell,115.9,129.9,137.9,118.9,"1480 Britannia Rd E, Mississauga, ON L4W 1C8, Canada",-79.64746439999999,43.65464559999999
"1480 Kennedy Rd , Toronto - East, Ontario",Esso,122.9,135.9,141.9,119.9,"1480 Kennedy Rd, Scarborough, ON M1P 2L7, Canada",-79.28155579999999,43.7653582
"1485 Elgin Mills Rd E , Richmond Hill, Ontario",Esso,122.9,135.9,141.9,119.9,"1485 Elgin Mills Rd E, Richmond Hill, ON L4S 1M8, Canada",-79.3963538,43.8977842
"1487 Centre St , Vaughan, Ontario",Petro-Canada,122.9,135.9,,118.9,"1487 Centre St, Vaughan, ON L4J, Canada",-79.4738299,43.8053458
"14923 Yonge St , Aurora, Ontario",Esso,122.9,134.9,,,"14923 Yonge St, Aurora, ON L4G 1M8, Canada",-79.4653125,43.9918445
"1494 Wellington St W , King Township, Ontario",Pioneer,118.9,,,,"1494 Wellington St W, King City, ON L7B 1K5, Canada",-79.5173621,43.9894675
"1498 Royal York Rd , Toronto - West, Ontario",Husky,122.7,,,118.7,"1498 Royal York Rd, Etobicoke, ON M9P 3B5, Canada",-79.530647,43.6906233
"1499 Upper Middle Rd  , Oakville, Ontario",Esso,122.9,132.9,138.9,,"1499 Upper Middle Rd W, Oakville, ON L6M 3Y3, Canada",-79.7434176,43.4382177
"150 Dupont St , Toronto - Central, Ontario",Esso,113.9,135.9,141.9,,"150 Dupont St, Toronto, ON M5R 2E6, Canada",-79.4032409,43.67594889999999
"150 Kingston Rd E , Ajax, Ontario",Costco,110.9,,122.9,,"150 Kingston Rd E, Ajax, ON L1Z 0C7, Canada",-79.0184539,43.86294970000001
"150 Lakeshore Rd E , Mississauga, Ontario",Pioneer,119.6,,,,"150 Lakeshore Rd E, Mississauga, ON L5G 1E9, Canada",-79.5813956,43.5562793
"1500 Finch Ave E , Toronto - North, Ontario",Esso,122.9,,,,"1500 Finch Ave E, North York, ON M2J 4Y6, Canada",-79.3543255,43.7932031
"1500 Major Mackenzie Dr W , Vaughan, Ontario",Esso,120.5,,,,"1500 Major MacKenzie Dr W, Maple, ON L6A 0A9, Canada",-79.4883175,43.8616126
"1500 Wilson Ave , Toronto - North, Ontario",Petroleum Plus,119.9,,,,"1500 Wilson Ave, Toronto, ON M3M, Canada",-79.5062545,43.7212448
"1501 Wellington St E , Aurora, Ontario",Shell,118.4,130.9,138.9,118.9,"1501 Wellington St E, Aurora, ON L4G 7B8, Canada",-79.41777130000001,44.010604
"1505 Steeles Ave E , Toronto - North, Ontario",Esso,122.9,,,,"1505 Steeles Ave E, North York, ON M2M 3Y7, Canada",-79.3852191,43.8053144
"1510 Albion Rd , Toronto - West, Ontario",Shell,122.9,136.9,144.9,,"1510 Albion Rd, Etobicoke, ON M9V 1B3, Canada",-79.5809933,43.7400349
"1510 Markham Rd , Toronto - East, Ontario",Esso,118.9,132.9,138.9,119.9,"1510 Markham Rd, Scarborough, ON M1H, Canada",-79.2317819,43.77633669999999
"1514 Steeles Ave W , Toronto - North, Ontario",Petro-Canada,122.9,135.9,141.9,,"1514 Steeles Ave E, Toronto, ON L3R, Canada",-79.3259375,43.8192352
"1515 King Rd , King Township, Ontario",Esso,122.9,,,118.9,"1515 King Rd, King City, ON L7B 1L4, Canada",-79.5054061,43.9335998
"1515 Main St E , Milton, Ontario",Esso,,,,119.9,"1515 Main St E, Milton, ON L9T 0R3, Canada",-79.85633539999999,43.53866259999999
"1520 Britannia Rd W , Mississauga, Ontario",Petro-Canada,117.9,130.9,139.9,,"1520 Britannia Rd W, Mississauga, ON L5M 6A1, Canada",-79.7119656,43.5969016
"1520 Courtneypark Dr E , Mississauga, Ontario",Ultramar,114.9,125.9,137.9,118.9,"1520 Courtneypark Dr E, Mississauga, ON L5T 2C7, Canada",-79.6573994,43.6633857
"1520 Shawson Dr , Mississauga, Ontario",Canadian Tire,114.9,133.9,139.9,118.9,"1520 Shawson Dr, Mississauga, ON L4W 4W9, Canada",-79.64296,43.652596
"1525 Eglinton Ave W , Toronto - Central, Ontario",Petro V Plus,117.4,125.5,133.5,116.5,"1525 Eglinton Ave W, Toronto, ON M6C, Canada",-79.4351898,43.6990529
"1525 Markham Rd , Toronto - East, Ontario",Petro-Canada,118.9,132.9,138.9,119.9,"1525 Markham Rd, Scarborough, ON M1B 2W1, Canada",-79.2369947,43.7896874
"15255 Leslie St , Aurora, Ontario",Ultramar,118.4,132.4,135.4,118.9,"15255 Leslie St, Aurora, ON L4G 7C7, Canada",-79.4183255,44.0112972
"1528 Dundas St W , Oakville, Ontario",Shell,122.9,134.9,142.9,118.9,"1528 Dundas St W, Oakville, ON L6M 4H8, Canada",-79.75972990000001,43.4502099
"1537 Trafalgar Rd , Oakville, Ontario",Husky,120.2,,,118.7,"1537 Trafalgar Rd, Oakville, ON L6H 7H3, Canada",-79.7011921,43.4750132
"15440 Yonge St , Aurora, Ontario",Petro-Canada,,134.9,,,"15440 Yonge St, Aurora, ON L4G 1P2, Canada",-79.4693343,44.0042633
"155 North Service Rd , Mississauga, Ontario",Husky,122.9,,,,"155 N Service Rd, Mississauga, ON L5A 1A2, Canada",-79.5964901,43.57215
"1550 North Service Rd W , Oakville, Ontario",Petro-Canada,122.9,135.9,141.9,,"1550 North Service Rd W, Oakville, ON L6M 4A1, Canada",-79.7274755,43.42662989999999
"1553 Shawson Dr , Mississauga, Ontario",Husky,112.9,124.9,130.9,118.9,"1553 Shawson Dr, Mississauga, ON L4W 1T7, Canada",-79.6429823,43.6539771
"15612 Yonge St , Aurora, Ontario",Petro-Canada,,134.9,,,"15612 Yonge St, Aurora, ON L4G 1P2, Canada",-79.4701747,44.0085692
"15641 Hwy 48 , Whitchurch-Stouffville, Ontario",Pioneer,116.9,126.4,133.9,115.9,"15641 ON-48, Whitchurch-Stouffville, ON L4A 7X4, Canada",-79.2993065,44.0475229
"1570 Dundas St E , Mississauga, Ontario",Costco,109.9,,121.9,,"1570 Dundas St E, Mississauga, ON L4X 1L4, Canada",-79.57577619999999,43.6103044
"1570 Wilson Ave , Toronto - North, Ontario",Shell,122.9,136.9,144.9,,"1570 Wilson Ave, North York, ON M3L 1A3, Canada",-79.50914089999999,43.7211914
"1571 Lawrence Ave W , Toronto - Central, Ontario",Petro-Canada,122.9,,,,"4218 Lawrence Ave E, Scarborough, ON M1E 4X9, Canada",-79.1842527,43.7694535
"1575 Warden Ave  , Toronto - East, Ontario",Shell,122.9,135.9,143.9,119.9,"1575 Warden Ave, Toronto, ON M1R 2S9, Canada",-79.3016715,43.76577390000001
"158 Hunt St , Ajax, Ontario",Falcon,122.9,,,120.9,"158 Hunt St, Ajax, ON L1S 1P5, Canada",-79.025621,43.8465867
"1585 Bathurst St , Toronto - Central, Ontario",Shell,122.9,,,,"1585 Bathurst St, Toronto, ON M5P 3H8, Canada",-79.4199641,43.6879698
"160 Main St S , Brampton, Ontario",Esso,122.7,133.9,139.9,117.9,"160 Main St S, Brampton, ON L6Y 1N2, Canada",-79.7473693,43.6779598
"1612 The Queensway , Toronto - West, Ontario",Canadian Tire,117.9,127.9,132.9,,"1612 The Queensway, Etobicoke, ON M8Z 1V1, Canada",-79.54466699999999,43.6171155
"1615 Ellesmere Rd , Toronto - East, Ontario",Esso,119.9,135.9,141.9,119.9,"1615 Ellesmere Rd, Toronto, ON M1P 2Y3, Canada",-79.2518971,43.7717232
"1640 The Queensway , Toronto - West, Ontario",Petro-Canada,119.9,133.9,139.9,119.9,"1640 The Queensway, Etobicoke, ON M8Z 1V1, Canada",-79.5459161,43.6168869
"1641 Markham Rd , Toronto - East, Ontario",Esso,119.9,132.9,139.9,118.9,"1641 Markham Rd, Scarborough, ON M1B 2W1, Canada",-79.2380682,43.7936744
"1651 Ellesmere Rd , Toronto - East, Ontario",Petro-Canada,119.9,,,,"1651 Ellesmere Rd, Scarborough, ON M1H, Canada",-79.2507998,43.77212189999999
"16634 Yonge St , Newmarket, Ontario",Shell,118.3,,,,"16634 Yonge St, Newmarket, ON L3X 2N8, Canada",-79.4758427,44.0330535
"1666 Albion Rd , Toronto - West, Ontario",Canadian Tire,122.9,,,,"1666 Albion Rd, Etobicoke, ON M9V 1B8, Canada",-79.594858,43.74240899999999
"1670 McCowan Rd , Toronto - East, Ontario",Shell,119.9,132.9,141.9,,"1670 McCowan Rd, Scarborough, ON M1S, Canada",-79.2575325,43.787004
"1695 Bayly St , Pickering, Ontario",Petro-Canada,119.6,133.9,139.9,120.9,"1695 Bayly St, Pickering, ON L1W 2Z1, Canada",-79.068088,43.832248
